route_id,trip_id,direction_id,shape_id,service_id
r0,t#r0#weekday_peak_1#07:00:00#0#0,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#1,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#2,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#3,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#4,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#5,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#6,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#7,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#8,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#9,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#10,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#11,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#12,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#13,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#14,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#15,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#16,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#17,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#18,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#19,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#20,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#21,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#22,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#0#23,0,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#0,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#1,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#2,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#3,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#4,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#5,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#6,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#7,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#8,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#9,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#10,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#11,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#12,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#13,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#14,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#15,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#16,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#17,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#18,1,shp1,srv1111100
